player,team,league,position,salary
"Hernandez, Kike",Boston Red Sox,AL-East,2B,5596590
"Houck, Tanner",Boston Red Sox,AL-East,SP,577000
"Martinez, J.D.",Boston Red Sox,AL-East,DH,19375000
"Ottavino, Adam",Boston Red Sox,AL-East,RP,8000000
"Perez, Martin",Boston Red Sox,AL-East,SP,4500000
"Pivetta, Nick",Boston Red Sox,AL-East,SP,613500
"Plawecki, Kevin",Boston Red Sox,AL-East,C,1600000
"Renfroe, Hunter",Boston Red Sox,AL-East,OF,3100000
"Richards, Garrett",Boston Red Sox,AL-East,SP,8500000
"Rodriguez, Eduardo",Boston Red Sox,AL-East,SP,8300000
"Sale, Chris",Boston Red Sox,AL-East,SP,24172484
"Sawamura, Hirokazu",Boston Red Sox,AL-East,RP,1200000
"Taylor, Josh",Boston Red Sox,AL-East,RP,580500
"Valdez, Phillips",Boston Red Sox,AL-East,RP,578500
"Vazquez, Christian",Boston Red Sox,AL-East,C,6250000
"Verdugo, Alex",Boston Red Sox,AL-East,OF,649500
"Whitlock, Garrett",Boston Red Sox,AL-East,RP,570500
"Adam, Jason",Chicago Cubs,NL-Central,RP,592500
"Alzolay, Adbert",Chicago Cubs,NL-Central,SP,573000
"Arrieta, Jake",Chicago Cubs,NL-Central,SP,4000000
"Baez, Javier",Chicago Cubs,NL-Central,SS,11650000
"Bote, David",Chicago Cubs,NL-Central,2B,1010000
"Brothers, Rex",Chicago Cubs,NL-Central,RP,850000
"Bryant, Kris",Chicago Cubs,NL-Central,3B,19500000
"Chafin, Andrew",Chicago Cubs,NL-Central,RP,2250000
"Contreras, Willson",Chicago Cubs,NL-Central,C,6650000
"Davies, Zach",Chicago Cubs,NL-Central,SP,8630000
"Duffy, Matt",Chicago Cubs,NL-Central,3B,1000000
"Happ, Ian",Chicago Cubs,NL-Central,OF,4100000
"Hendricks, Kyle",Chicago Cubs,NL-Central,SP,14000000
"Heyward, Jason",Chicago Cubs,NL-Central,OF,21000000
"Holder, Jonathan",Chicago Cubs,NL-Central,RP,750000
"Kimbrel, Craig",Chicago Cubs,NL-Central,RP,16000000
"Maples, Dillon",Chicago Cubs,NL-Central,NA,576500
"Marisnick, Jake",Chicago Cubs,NL-Central,OF,1000000
"Mills, Alec",Chicago Cubs,NL-Central,SP,600000
"Pederson, Joc",Chicago Cubs,NL-Central,OF,4500000
"Rizzo, Anthony",Chicago Cubs,NL-Central,1B,16500000
"Romine, Austin",Chicago Cubs,NL-Central,C,1500000
"Sogard, Eric",Chicago Cubs,NL-Central,2B,1000000
"Tepera, Ryan",Chicago Cubs,NL-Central,RP,800000
"Wick, Rowan",Chicago Cubs,NL-Central,RP,593000
"Williams, Trevor",Chicago Cubs,NL-Central,SP,2500000
"Winkler, Dan",Chicago Cubs,NL-Central,RP,900000
"Wolters, Tony",Chicago Cubs,NL-Central,C,800000
"Workman, Brandon",Chicago Cubs,NL-Central,RP,1000000
"Abreu, Jose",Chicago White Sox,AL-Central,1B,17666667
"Anderson, Tim",Chicago White Sox,AL-Central,SS,7250000
"Bummer, Aaron",Chicago White Sox,AL-Central,RP,2000000
"Cease, Dylan",Chicago White Sox,AL-Central,SP,600000
"Collins, Zack",Chicago White Sox,AL-Central,C,575000
"Crochet, Garrett",Chicago White Sox,AL-Central,RP,572000
"Eaton, Adam",Chicago White Sox,AL-Central,OF,7000000
"Engel, Adam",Chicago White Sox,AL-Central,OF,1375000
"Foster, Matt",Chicago White Sox,AL-Central,RP,585000
"Fry, Jace",Chicago White Sox,AL-Central,RP,862500
"Garcia, Leury",Chicago White Sox,AL-Central,OF,3500000
"Giolito, Lucas",Chicago White Sox,AL-Central,SP,4150000
"Grandal, Yasmani",Chicago White Sox,AL-Central,C,18250000
"Hamilton, Billy",Chicago White Sox,AL-Central,OF,1000000
"Hendriks, Liam",Chicago White Sox,AL-Central,RP,11333333
"Heuer, Codi",Chicago White Sox,AL-Central,RP,585000
"Jimenez, Eloy",Chicago White Sox,AL-Central,OF,4333333
"Keuchel, Dallas",Chicago White Sox,AL-Central,SP,18000000
"Kopech, Michael",Chicago White Sox,AL-Central,RP,570500
"Lamb, Jake",Chicago White Sox,AL-Central,3B,1000000
"Lynn, Lance",Chicago White Sox,AL-Central,SP,8000000
"Madrigal, Nick",Chicago White Sox,AL-Central,2B,584000
"Marshall, Evan",Chicago White Sox,AL-Central,RP,2000000
"Mercedes, Yermin",Chicago White Sox,AL-Central,C,570500
"Moncada, Yoan",Chicago White Sox,AL-Central,3B,6800000
"Robert, Luis",Chicago White Sox,AL-Central,OF,3500000
